Name, Cost, Generation Time, Generation Iteration
44,11.069999999999999,217875,10
45,13.049999999999997,44203,1
46,12.614999999999997,41922,1
47,11.069999999999999,78625,3
48,10.05,248000,13
49,13.32,43828,1
10,11.069999999999999,91469,4
11,10.05,386312,22
12,10.05,328485,18
13,10.05,239672,14
14,10.05,233672,13
15,12.904999999999998,41594,1
16,10.05,380985,19
17,11.449999999999996,75375,3
18,10.05,401375,21
19,10.05,331390,18
0,10.05,458641,29
1,10.05,356250,21
2,10.200000000000001,465328,30
3,11.449999999999996,187297,9
4,10.05,273750,14
5,11.069999999999999,385375,20
6,10.05,86484,4
7,10.05,256531,13
8,10.05,306079,16
9,11.449999999999996,228641,12
20,10.05,360485,21
21,10.05,389501,23
22,11.219999999999999,520078,29
23,11.819999999999999,327172,16
24,11.599999999999994,214297,10
25,10.05,460031,24
26,11.599999999999994,170516,8
27,10.05,561172,29
28,10.200000000000001,313125,18
29,10.05,289953,16
30,11.069999999999999,134109,6
31,10.05,384391,21
32,10.05,389625,22
33,10.200000000000001,329594,17
34,10.05,334906,20
35,10.05,142813,7
36,10.05,468000,30
37,11.069999999999999,125422,5
38,11.219999999999999,208219,10
39,12.469999999999997,439344,24
40,10.05,166610,8
41,10.05,108422,5
42,10.350000000000001,455454,25
43,10.05,426312,23
